79.5,-4.045554398056827
76.5,-3.8632328412570973
73.5,-3.743687690610161
70.5,-3.945924557103953
67.5,-3.8474844842858
64.5,-4.017383521092777
61.5,-4.094344562218462
58.5,-3.9990343824207524
55.5,-3.8632328412570973
52.5,-3.8167128256199074
49.5,-3.8792331826067983
46.5,-3.7159081265036997
43.5,-3.688879454116362
40.5,-3.8632328412570973
37.5,-3.8016749482591723
34.5,-3.8016749482591723
31.5,-3.71590812649747
28.5,-4.017383521092777
25.5,-4.094344562218462
22.5,-4.055123849066231
19.5,-4.31748811353722
16.5,-4.674163057482448
13.5,-4.2451674519538924
10.5,-4.177726171165027
7.5,-4.135166556737581
4.5,-4.509860006186743
1.5,-4.19970507787831
-1.5,-4.177726171165027
-4.5,-4.074541934927276
-7.5,-3.981015876914383
-10.5,-4.177726171155141
-13.5,-4.245167451964468
-16.5,-4.156219965939647
-19.5,-4.156219965939647
-22.5,-4.4228486291925195
-25.5,-4.368781407923573
-28.5,-4.135166556737581
-31.5,-4.3428059215267565
-34.5,-4.3428059215150965
-37.5,-4.395449655011234
-40.5,-4.710530701644301
-43.5,-4.368781407923573
-46.5,-4.509860006186743
-49.5,-4.639071737663898
-52.5,-4.4228486291925195
-55.5,-4.114547269540066
-58.5,-4.292795500941858
-61.5,-4.268697949368871
-64.5,-4.45101950616499
-67.5,-4.177726171155141
-70.5,-4.074541934927276
-73.5,-4.368781407923573
-76.5,-4.2221779337349625
-79.5,-4.135166556737581
-82.5,-4.45101950616499
-85.5,-4.395449655011234
-88.5,-4.395449654998943
-91.5,-4.3428059215267565
-94.5,-4.509860006172963
-97.5,-4.245167451964468
-100.5,-4.480007043030982
-103.5,-4.19970507787831
-106.5,-4.60517018599658
-109.5,-4.605170185981422
-112.5,-4.828313737307
-115.5,-4.292795500941858
-118.5,-4.509860006186743
-121.5,-4.540631664845745
-124.5,-4.639071737663898
-127.5,-4.4228486291925195
-130.5,-4.1997050778884155
-133.5,-4.509860006172963
-136.5,-4.572380363166744
-139.5,-4.368781407923573
-142.5,-4.177726171165027
-145.5,-4.509860006186743
-148.5,-4.8283137372880525
-151.5,-4.292795500952948
-154.5,-4.4228486291925195
-157.5,-4.4228486291925195
-160.5,-4.674163057482448
-163.5,-4.292795500941858
-166.5,-4.572380363166744
-169.5,-4.674163057466208
-172.5,-4.245167451964468
-175.5,-4.710530701644301
