# Decadal averaged CFA data for NEEM
# 
# Columns:
# Age_BP : Age of the middle of the sampling interval in years BP (before 1950) on the GICC05 age scale for NEEM (see reference)
# Na : Concentration of Na+ ions in (ng/g)
# Ca : Concentration of Ca++ ions in (ng/g)
#
Age_BP,Na,Ca
11915.00000,26.78930,78.42439
11925.00000,38.30997,103.97551
11935.00000,25.40805,69.73590
11945.00000,54.81517,136.92726
11955.00000,44.14679,118.20040
11965.00000,49.16555,119.50507
11975.00000,35.04480,90.42855
11985.00000,46.97415,81.47544
11995.00000,46.08454,91.79198
12005.00000,43.62348,87.86262
12015.00000,49.12528,119.38785
12025.00000,41.19573,114.68882
12035.00000,37.94439,89.45991
12045.00000,36.89335,79.72282
12055.00000,65.03765,148.28039
12065.00000,34.15413,100.63996
12075.00000,41.40349,88.97909
12085.00000,26.05352,65.37173
12095.00000,68.18807,145.06660
12105.00000,56.61655,124.04577
12115.00000,42.10924,155.92257
12125.00000,42.99191,109.85044
12135.00000,56.34461,107.48347
12145.00000,38.62239,101.30763
12155.00000,40.50176,107.33671
12165.00000,28.31888,100.15714
12175.00000,50.84277,154.43607
12185.00000,62.12133,145.20721
12195.00000,38.77515,103.35801
12205.00000,33.26219,98.36254
12215.00000,65.85416,133.44648
12225.00000,46.67881,124.14931
12235.00000,49.92889,159.07690
12245.00000,37.19697,92.31786
12255.00000,45.17608,119.53062
12265.00000,59.28322,168.16413
12275.00000,36.23088,114.07602
12285.00000,39.58954,108.05300
12295.00000,52.58653,118.75085
12305.00000,58.83819,188.33008
12315.00000,42.50708,178.04915
12325.00000,42.85692,124.34825
12335.00000,52.85672,144.58085
12345.00000,44.88201,116.37470
12355.00000,39.88650,88.83100
12365.00000,47.03251,110.43936
12375.00000,24.55127,90.73259
12385.00000,32.42817,83.57232
12395.00000,59.12137,121.55376
12405.00000,54.68828,144.80703
12415.00000,32.06272,113.71752
12425.00000,44.98531,144.72398
12435.00000,51.67077,137.10865
12445.00000,30.29475,121.51132
12455.00000,,121.95291
12465.00000,,146.66033
12475.00000,,146.53351
12485.00000,,146.77540
12495.00000,,156.07055
12505.00000,57.86324,180.57674
12515.00000,66.88886,195.69954
12525.00000,32.72613,112.37953
12535.00000,55.36705,163.67787
12545.00000,59.03354,234.59957
12555.00000,72.15060,186.03911
12565.00000,58.56828,178.11122
12575.00000,49.87805,234.70846
12585.00000,60.61661,200.77895
12595.00000,72.24462,239.48463
12605.00000,48.91856,162.64754
12615.00000,58.71861,121.11947
12625.00000,50.19147,143.63633
12635.00000,47.87596,155.75777
12645.00000,64.77417,167.41900
12655.00000,62.33452,158.51312
12665.00000,56.64257,129.05035
12675.00000,62.83981,147.94381
12685.00000,60.05250,163.94004
12695.00000,68.51561,125.91324
12705.00000,46.05505,150.14897
12715.00000,48.46329,89.40783
12725.00000,65.23005,85.54066
12735.00000,51.15228,89.08248
12745.00000,49.64600,116.77898
12755.00000,31.30023,74.07880
12765.00000,42.07803,96.56745
12775.00000,30.32557,52.67518
12785.00000,35.37433,70.16726
12795.00000,32.58216,70.51285
12805.00000,33.58722,64.32002
12815.00000,23.58666,41.06844
12825.00000,19.66051,37.73269
12835.00000,15.15918,39.44670
12845.00000,19.42091,30.45472
12855.00000,16.12089,30.75556
12865.00000,25.16592,42.87656
12875.00000,24.58092,32.21637
12885.00000,12.21081,30.59569
12895.00000,17.82234,26.40505
12905.00000,17.34549,24.71635
12915.00000,15.05837,29.72678
12925.00000,15.08565,27.56834
12935.00000,15.21017,30.53293
12945.00000,16.73931,26.66632
12955.00000,19.35999,36.10816
12965.00000,18.05369,32.21013
12975.00000,32.97161,93.11345
12985.00000,36.34090,73.27674
12995.00000,21.87011,38.60447
13005.00000,30.09928,45.92721
13015.00000,25.44193,46.89417
13025.00000,23.72203,57.84497
13035.00000,20.51715,54.91892
13045.00000,29.18834,48.15437
13055.00000,42.25798,61.80511
13065.00000,22.33656,56.51567
13075.00000,26.79184,54.93401
13085.00000,41.40632,79.29951
13095.00000,36.53435,62.97687
13105.00000,43.79192,91.75960
13115.00000,29.23607,74.64287
13125.00000,22.45291,64.68862
13135.00000,26.79245,59.67008
13145.00000,24.46532,41.46104
13155.00000,28.63334,63.40624
13165.00000,31.42751,66.37626
13175.00000,21.37501,49.03487
13185.00000,29.55322,52.93256
13195.00000,36.79757,58.37411
13205.00000,26.34857,55.53467
13215.00000,18.30988,39.68156
13225.00000,30.72811,39.40804
13235.00000,17.99302,29.67734
13245.00000,19.14977,39.53538
13255.00000,21.69980,51.50966
13265.00000,24.56852,43.03722
13275.00000,18.97541,38.99023
13285.00000,20.68880,38.90925
13295.00000,20.09758,33.86157
13305.00000,17.24230,37.85716
13315.00000,18.26643,31.38225
13325.00000,17.72774,23.14837
13335.00000,14.63748,32.61422
13345.00000,24.80638,44.20031
13355.00000,17.89157,29.98101
13365.00000,29.52267,34.84380
13375.00000,18.37850,31.94871
13385.00000,23.17010,49.77438
13395.00000,17.41911,31.29557
13405.00000,31.08644,26.63021
13415.00000,21.05084,36.84100
13425.00000,18.98744,38.09612
13435.00000,15.68475,39.31306
13445.00000,31.40802,36.56737
13455.00000,17.90149,29.34464
13465.00000,17.44714,36.73572
13475.00000,26.58627,31.79959
13485.00000,16.23813,25.05908
13495.00000,21.33468,28.55846
13505.00000,16.18382,28.02963
13515.00000,24.61007,41.23235
13525.00000,22.54149,47.93583
13535.00000,17.84224,31.58250
13545.00000,28.87905,56.60233
13555.00000,18.53252,49.13862
13565.00000,28.85380,65.29283
13575.00000,26.85042,47.35797
13585.00000,27.12656,44.58401
13595.00000,28.88198,50.10966
13605.00000,19.79735,39.88639
13615.00000,24.96377,42.50366
13625.00000,21.69211,32.03561
13635.00000,15.82194,33.05409
13645.00000,15.32231,26.74414
13655.00000,17.81733,32.96945
13665.00000,21.91314,30.25361
13675.00000,19.97410,32.47749
13685.00000,20.40031,33.51899
13695.00000,17.09905,31.02222
13705.00000,18.69070,42.98330
13715.00000,17.32753,30.23381
13725.00000,14.59342,36.22878
13735.00000,18.91906,33.82163
13745.00000,21.90345,45.01675
13755.00000,20.92136,31.37185
13765.00000,15.51561,43.79411
13775.00000,17.82337,37.69432
13785.00000,20.41642,33.62591
13795.00000,18.77397,26.92610
13805.00000,18.96118,36.44852
13815.00000,18.83545,32.73122
13825.00000,20.98214,34.25446
13835.00000,18.74495,30.28680
13845.00000,15.74292,31.44705
13855.00000,21.36762,27.10981
13865.00000,19.79204,30.03037
13875.00000,16.60376,33.51198
13885.00000,17.84795,31.20909
13895.00000,18.23405,36.39699
13905.00000,21.34614,44.92525
13915.00000,26.69479,34.09794
13925.00000,20.22278,34.94796
13935.00000,21.32099,47.99775
13945.00000,23.63414,47.31926
13955.00000,22.34722,50.62981
13965.00000,24.65608,72.46664
13975.00000,36.67070,70.00935
13985.00000,23.19533,48.11956
13995.00000,58.33542,90.96117
14005.00000,24.82304,58.71643
14015.00000,22.41826,52.04096
14025.00000,26.42871,34.06501
14035.00000,18.82540,30.29113
14045.00000,26.14224,32.11448
14055.00000,18.61865,39.70150
14065.00000,14.61791,29.89902
14075.00000,19.95288,27.74706
14085.00000,16.39677,27.61912
14095.00000,21.93073,26.08506
14105.00000,16.17893,33.05561
14115.00000,28.06919,40.79898
14125.00000,23.12267,43.13696
14135.00000,16.75191,25.78286
14145.00000,22.55652,35.98220
14155.00000,14.53319,28.29148
14165.00000,23.08229,34.64545
14175.00000,16.42132,25.57242
14185.00000,24.80325,26.37910
14195.00000,13.16721,23.48519
14205.00000,14.62536,23.75029
14215.00000,14.82995,27.36981
14225.00000,24.42583,28.37211
14235.00000,13.19051,24.39580
14245.00000,19.68993,26.15070
14255.00000,13.98270,22.08359
14265.00000,22.95103,32.26076
14275.00000,18.28490,27.57844
14285.00000,20.50803,33.51078
14295.00000,15.60890,29.81429
14305.00000,21.63522,27.49457
14315.00000,18.36031,24.16592
14325.00000,22.07270,35.79329
14335.00000,20.75569,26.28138
14345.00000,26.14524,25.54511
14355.00000,14.96767,24.63141
14365.00000,15.14239,32.73908
14375.00000,20.68397,36.68095
14385.00000,15.90500,25.93119
14395.00000,21.08804,27.89678
14405.00000,17.99066,25.51815
14415.00000,18.23378,29.38113
14425.00000,13.41971,19.74009
14435.00000,29.48840,24.71500
14445.00000,15.66654,30.96612
14455.00000,15.08761,32.23811
14465.00000,17.41538,35.02527
14475.00000,16.38981,25.32070
14485.00000,14.82225,26.70414
14495.00000,14.87446,23.20818
14505.00000,17.97015,18.78898
14515.00000,21.59784,25.11507
14525.00000,18.14512,26.53294
14535.00000,12.73726,19.91611
14545.00000,18.16221,20.54691
14555.00000,19.67795,24.57132
14565.00000,19.64095,29.63614
14575.00000,22.60840,35.61536
14585.00000,31.75923,48.59323
14595.00000,24.01316,38.61214
14605.00000,34.61100,32.19110
14615.00000,20.98210,34.00866
14625.00000,34.76721,36.97614
14635.00000,26.27027,37.65790
14645.00000,44.73896,67.42890
14655.00000,35.76799,130.08823
14665.00000,63.44859,127.08847
14675.00000,40.60391,103.36932
14685.00000,50.91812,122.99061
14695.00000,57.08627,118.59444
14705.00000,37.27069,90.89155
14715.00000,52.95238,215.04358
14725.00000,41.32168,128.00166
14735.00000,67.11719,136.52598
14745.00000,61.07922,154.20558
14755.00000,49.39226,112.74590
14765.00000,76.48487,135.49714
14775.00000,43.98499,103.31867
14785.00000,62.72844,129.45229
14795.00000,59.78099,144.18848
14805.00000,49.30280,131.11028
14815.00000,42.57475,136.86866
14825.00000,75.27369,165.44420
14835.00000,52.37373,104.74020
14845.00000,50.52050,128.37500
14855.00000,43.93986,133.24029
14865.00000,58.12725,183.70199
14875.00000,89.05921,228.16231
14885.00000,46.63283,127.99430
14895.00000,47.64657,130.31270
14905.00000,56.19425,162.99180
14915.00000,46.78270,138.52086
14925.00000,39.79728,125.04322
14935.00000,34.95125,116.62831
14945.00000,59.58087,169.20651
14955.00000,64.43836,190.29812
14965.00000,66.47252,170.69495
14975.00000,50.02397,143.35111
14985.00000,44.31337,137.02503
14995.00000,35.08700,178.54808
15005.00000,90.70180,188.79471
15015.00000,41.82727,123.98216
15025.00000,45.43970,157.77406
15035.00000,58.01127,196.08800
15045.00000,42.53755,158.13066
15055.00000,55.30472,202.14321
15065.00000,60.22889,153.54574
15075.00000,36.77278,106.82980
15085.00000,98.58971,282.49909
15095.00000,51.07059,128.30702
15105.00000,31.45296,104.04169
15115.00000,36.79494,124.37272
15125.00000,38.17053,112.87713
15135.00000,68.27392,204.10277
15145.00000,60.65494,190.22565
15155.00000,47.35769,167.54769
15165.00000,33.67313,110.82720
15175.00000,62.36943,175.30971
15185.00000,52.29537,134.44630
15195.00000,56.12787,126.05292
15205.00000,59.26276,146.29068
15215.00000,57.70167,172.57080
15225.00000,47.73641,149.35748
15235.00000,27.02393,105.40629
15245.00000,67.74659,175.76519
15255.00000,112.54626,322.40123
15265.00000,74.67471,140.71226
15275.00000,49.18256,141.06351
15285.00000,48.55623,129.71698
15295.00000,34.00049,108.35996
15305.00000,79.32219,178.62445
15315.00000,52.68461,161.97306
15325.00000,66.52492,158.97255
15335.00000,58.08835,165.72683
15345.00000,46.75888,176.23402
15355.00000,50.99016,110.75364
15365.00000,70.54043,174.06235
15375.00000,58.03205,180.55457
15385.00000,40.32602,164.26899
15395.00000,60.98862,208.36376
15405.00000,62.53013,189.02267
15415.00000,55.80298,165.73842
15425.00000,60.25704,218.74791
15435.00000,59.08164,115.59106
15445.00000,59.74138,124.56320
15455.00000,57.63120,158.71305
15465.00000,49.16266,145.77241
15475.00000,34.45723,127.63721
15485.00000,47.08600,135.31864
15495.00000,54.04134,142.48466
15505.00000,64.01186,142.89290
15515.00000,37.46700,108.81490
15525.00000,51.83807,118.33408
15535.00000,36.54782,102.55904
15545.00000,48.69069,141.21845
15555.00000,61.00270,144.61223
15565.00000,46.10215,138.73143
15575.00000,58.98254,162.99315
15585.00000,52.11238,131.18225
15595.00000,72.11267,166.16392
15605.00000,73.86892,190.58720
15615.00000,54.32987,122.44538
15625.00000,54.09654,151.11944
15635.00000,33.22450,143.49408
15645.00000,30.86166,134.58164
15655.00000,42.45898,149.17794
15665.00000,49.98686,181.08849
15675.00000,47.86304,169.08614
15685.00000,51.46827,158.69895
15695.00000,52.84886,173.44923
15705.00000,49.47694,132.88134
15715.00000,45.21536,168.53335
15725.00000,80.03090,227.56741
15735.00000,120.13545,306.26391
15745.00000,49.95703,226.32840
15755.00000,67.44556,225.70863
15765.00000,49.85236,268.43346
15775.00000,21.70241,131.65970
15785.00000,84.43672,253.49613
15795.00000,74.77065,164.44191
15805.00000,41.20468,158.79204
15815.00000,43.46195,211.03100
15825.00000,50.70043,193.62498
15835.00000,43.82072,170.39333
15845.00000,55.25595,262.47857
15855.00000,37.82820,188.63611
